# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 GeForce GTX 480
# CUDA_CONTEXT 2
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff685719c1c70
method,gputime,cputime,dynsmemperblock,stasmemperblock,regperthread,occupancy
_limit_vertices_by_all_neighbours_loop1D_1,82.080,15.000,0,0,34,0.583
_compute_gradients_loop1D_1,82.656,6.000,0,0,30,0.667
memcpyHtoD,166.144,304.000
_extrapolate_from_gradient_loop1D_1,41.344,12.000,0,0,16,0.667
memcpyDtoH,186.880,480.000
_limit_vertices_by_all_neighbours_loop1D_1,79.328,14.000,0,0,34,0.583
memcpyDtoH,122.272,326.000
memcpyDtoH,182.080,475.000
memcpyDtoH,65.344,183.000
memcpyDtoH,61.888,171.000
memcpyDtoH,181.952,506.000
memcpyDtoH,190.976,497.000
memcpyDtoH,62.592,174.000
memcpyDtoH,61.888,170.000
memcpyDtoH,181.824,470.000
memcpyDtoH,402.560,882.000
memcpyDtoH,61.376,182.000
memcpyDtoH,182.176,468.000
memcpyDtoH,197.600,494.000
memcpyDtoH,62.336,177.000
memcpyDtoH,61.920,171.000
memcpyDtoH,61.760,170.000
memcpyDtoH,182.080,473.000
memcpyDtoH,189.728,495.000
memcpyDtoH,61.536,167.000
memcpyDtoH,61.568,169.000
memcpyHtoD,111.424,218.000
memcpyHtoD,166.080,289.000
memcpyHtoD,59.264,109.000
memcpyHtoD,57.056,109.000
memcpyHtoD,166.048,293.000
memcpyHtoD,166.304,392.000
memcpyHtoD,62.080,107.000
memcpyHtoD,56.992,108.000
memcpyHtoD,166.016,293.000
memcpyHtoD,540.960,679.000
memcpyHtoD,57.216,152.000
memcpyHtoD,166.112,296.000
memcpyHtoD,167.232,307.000
memcpyHtoD,57.056,106.000
memcpyHtoD,57.152,102.000
memcpyHtoD,56.992,100.000
memcpyHtoD,166.048,294.000
memcpyHtoD,167.136,309.000
memcpyHtoD,57.120,103.000
memcpyHtoD,57.056,103.000
_compute_gradients_loop1D_1,82.432,14.000,0,0,30,0.667
memcpyHtoD,166.048,319.000
_extrapolate_from_gradient_loop1D_1,41.024,14.000,0,0,16,0.667
memcpyDtoH,182.496,506.000
_limit_vertices_by_all_neighbours_loop1D_1,74.016,14.000,0,0,34,0.583
_compute_gradients_loop1D_1,84.000,6.000,0,0,30,0.667
memcpyHtoD,165.920,303.000
_extrapolate_from_gradient_loop1D_1,40.800,12.000,0,0,16,0.667
memcpyDtoH,186.976,488.000
_limit_vertices_by_all_neighbours_loop1D_1,82.720,15.000,0,0,34,0.583
_compute_gradients_loop1D_1,85.376,7.000,0,0,30,0.667
memcpyHtoD,165.984,304.000
_extrapolate_from_gradient_loop1D_1,41.856,13.000,0,0,16,0.667
memcpyDtoH,182.208,473.000
